source,section,content
snmp_exporter,Introduction,"Prometheus is able to map SNMP index instances to labels. For example, theifEntryspecifies an INDEX ofifIndex. This becomes theifIndexlabel in Prometheus."
snmp_exporter,Introduction,Usage
snmp_exporter,Introduction,Installation
snmp_exporter,Introduction,"Binaries can be downloaded from theGithub
releasespage and need no
special installation."
snmp_exporter,Introduction,"Visithttp://localhost:9116/snmp?target=192.0.0.8where192.0.0.8is the IP or
FQDN of the SNMP device to get metrics from. Note that this will use the default transport (udp),
default port (161), default auth (public_v2) and default module (if_mib). The auth and module
must be defined in thesnmp.ymlfile."
snmp_exporter,Introduction,"For example, if you have an auth namedmy_secure_v3for walkingddwrt, the URL would look likehttp://localhost:9116/snmp?auth=my_secure_v3&module=ddwrt&target=192.0.0.8."
snmp_exporter,Introduction,"For example, to scrape a device usingtcpon port1161, the URL would look likehttp://localhost:9116/snmp?auth=my_secure_v3&module=ddwrt&target=tcp%3A%2F%2F192.0.0.8%3A1161."
snmp_exporter,Introduction,"Note thatURL encodingshould be used fortargetdue
to the:and/characters. Prometheus encodes query parameters automatically and manual encoding
is not necessary within the Prometheus configuration file."
snmp_exporter,Introduction,"Metrics concerning the operation of the exporter itself are available at the
endpointhttp://localhost:9116/metrics."
snmp_exporter,Introduction,"The multi-module functionality allows you to specify multiple modules, enabling the retrieval of information from several modules in a single scrape.
The concurrency can be specified using the snmp-exporter option--snmp.module-concurrency(the default is 1)."
snmp_exporter,Introduction,Prometheus Example:
snmp_exporter,Introduction,"-job_name:'my'params:module: 
        -if_mib-synology-ucd_la_table"
snmp_exporter,Introduction,Configuration
snmp_exporter,Introduction,"The default configuration file name issnmp.ymland should not be edited
by hand. If you need to change it, seeGenerating configuration."
snmp_exporter,Introduction,"The--config.expand-environment-variablesparameter allows passing environment variables into some fields of the configuration file. Theusername,password&priv_passwordfields in the auths section are supported. Defaults to disabled."
snmp_exporter,Introduction,Prometheus Configuration
snmp_exporter,Introduction,Example config:
snmp_exporter,Introduction,"scrape_configs:
  -job_name:'snmp'static_configs:
      -targets:
        -192.168.1.2#SNMP device.-switch.local#SNMP device.-tcp://192.168.1.3:1161#SNMP device using TCP transport and custom port.metrics_path:/snmpparams:auth:[public_v2]module:[if_mib]relabel_configs:
      -source_labels:[__address__]target_label:__param_target-source_labels:[__param_target]target_label:instance-target_label:__address__replacement:127.0.0.1:9116#The SNMP exporter's real hostname:port.#Global exporter-level metrics-job_name:'snmp_exporter'static_configs:
      -targets:['localhost:9116']"
snmp_exporter,Introduction,auths:example_with_envs:community:mysecretsecurity_level:SomethingReadOnlyusername:${ARISTA_USERNAME}password:${ARISTA_PASSWORD}auth_protocol:SHA256priv_protocol:AESpriv_password:${ARISTA_PRIV_PASSWORD}
snmp_exporter,Introduction,"To use TLS and/or basic authentication, you need to pass a configuration file
using the--web.config.fileparameter. The format of the file is describedin the exporter-toolkit repository."
snmp_exporter,Introduction,"Note that the TLS and basic authentication settings affect all HTTP endpoints:
/metrics for scraping, /snmp for scraping SNMP devices, and the web UI."
snmp_exporter,Introduction,Generating configuration
snmp_exporter,Introduction,"Most use cases should be covered by ourdefault configuration.
If you need to generate your own configuration from MIBs, you can use thegenerator."
snmp_exporter,Introduction,"It can be opaque to get started with all this, but in our own experience,
snmp_exporter is honestly the best way to interact with SNMP. To make it
easier for others, please consider contributing back your configurations to
us.snmp.ymlconfig should be accompanied by generator config.
For your dashboard, alerts, and recording rules, please consider
contributing them tohttps://github.com/prometheus/snmp_exporter/tree/main/snmp-mixin."
